name,type,unit,description
dataset_id,character,"","dataset identifier (normalized URI, that is: ""/"" replaced with ""_"")"
trial_id,character,"",Identifier of a single trial (that may have treatments and replicates); should be unique within dataset_id
record_id,integer,"",Unique identifier for each records in a dataset (sequence from 1 to n)
country,character,"",Country name
adm1,character,"",First level administrative subdivision
adm2,character,"",Second level administrative subdivision (within the first level subdivision)
adm3,character,"",Third level administrative subdivision (within the second level subdivision)
adm4,character,"",Fourth level administrative subdivision (within the third level subdivision)
adm5,character,"",Fifth level administrative subdivision (within the fourth level subdivision)
location,character,"","Name of the location where the location was made. E.g., a place name or locality description."
site,character,"",Name of the sub-location where the observation was made
reference,character,"",Reference to source if the data set is a compilation
longitude,numeric,degrees,Longitude of the location where the observation was made (in decimal notation)
latitude,numeric,degrees,Latitude of the location where the observation was made (in decimal notation)
elevation,numeric,meter,Elevation above sea level
date,character,"","Observation date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format"
time,character,"","Observation time in ""hh:mm:ss"", ""hh:mm"", or ""hh"" format"
planting_date,character,"","Planting date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format"
emergence_date,character,"","Emergence date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format"
transplanting_date,character,"","Transplanting date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format"
flowering_date,character,"","Flowering date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format"
maturity_date,character,"","Maturity date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format"
harvest_date,character,"","Harvest date in ""yyyy-mm-dd"", ""yyyy-mm"", or ""yyyy"" format"
season,character,"",Season name
on_farm,logical,"",Is this observation on farm (not on station)
is_survey,logical,"",Is this observation from a survey (not an experiment)
treatment,character,"","Description of the treatment, if any. Can be a code used in the original data. There are no rules about its content or format"
rep,integer,"","Replication number (1, 2, 3, ...) For this specific observation"
crop,character,"",Crop name(s)
variety,character,"",Variety name
variety_code,character,"",Variety code (used by breeders)
variety_type,character,"","variety grouping (e.g. climbing/bush) and/or ""improved/landrace"""
intercrops,character,"",Other crop grown together with the main crop
previous_crop,character,"",Crop grown on this plot in the prior season
crop_rotation,character,"",Crops grown in rotation on this plot
dmy_roots,numeric,kg/ha,Dry-weight biomass of fine roots per ha
