dataset_id,trial_id,country,adm1,adm2,adm3,location,longitude,latitude,planting_date,harvest_date,season,on_farm,is_survey,rep,crop,variety,yield_part,yield,N_fertilizer,P_fertilizer,K_fertilizer,inoculated,irrigated,row_spacing,plant_spacing,plant_density,harvest_days,soil_pH,soil_SOM,soil_sand,soil_clay,soil_silt,soil_N,soil_K,soil_P_available,soil_Ca,soil_B,soil_Fe,soil_S,soil_Zn,soil_CEC,soil_ex_Ca,soil_ex_Mg,soil_ex_K,soil_ex_Na,soil_ex_Al
doi_10.21223_GZI7PD,Arcopampa_CIP308478.59,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,1,potato,CIP308478.59,tubers,14166.6666666667,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP384866.5,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,1,potato,CIP384866.5,tubers,26666.6666666667,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308488.198,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,1,potato,CIP308488.198,tubers,11666.6666666667,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP720201,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,1,potato,CIP720201,tubers,16666.6666666667,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308495.227,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,1,potato,CIP308495.227,tubers,10833.3333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308486.355,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,1,potato,CIP308486.355,tubers,10833.3333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308488.92,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,1,potato,CIP308488.92,tubers,4166.66666666667,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308478.59,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,2,potato,CIP308478.59,tubers,15833.3333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308488.198,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,2,potato,CIP308488.198,tubers,13333.3333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308488.92,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,2,potato,CIP308488.92,tubers,15833.3333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308486.355,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,2,potato,CIP308486.355,tubers,19166.6666666667,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308495.227,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,2,potato,CIP308495.227,tubers,8333.33333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP384866.5,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,2,potato,CIP384866.5,tubers,8333.33333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP720201,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,2,potato,CIP720201,tubers,21666.6666666667,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308486.355,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,3,potato,CIP308486.355,tubers,15000,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308488.198,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,3,potato,CIP308488.198,tubers,15000,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308478.59,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,3,potato,CIP308478.59,tubers,18333.3333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308488.92,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,3,potato,CIP308488.92,tubers,33333.3333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP720201,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,3,potato,CIP720201,tubers,18333.3333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP384866.5,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,3,potato,CIP384866.5,tubers,5833.33333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308495.227,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,3,potato,CIP308495.227,tubers,12500,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP384866.5,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,4,potato,CIP384866.5,tubers,10833.3333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308488.92,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,4,potato,CIP308488.92,tubers,7500,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP720201,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,4,potato,CIP720201,tubers,18333.3333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308486.355,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,4,potato,CIP308486.355,tubers,26666.6666666667,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308495.227,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,4,potato,CIP308495.227,tubers,11666.6666666667,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308488.198,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,4,potato,CIP308488.198,tubers,15833.3333333333,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,Arcopampa_CIP308478.59,Peru,La Libertad,Sanchez Carrion,,Arcopampa,-77.89139,-7.976944,2017,,2017-2018,TRUE,FALSE,4,potato,CIP308478.59,tubers,26666.6666666667,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP308488.92,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,1,potato,CIP308488.92,tubers,28703.7037037037,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP308486.355,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,1,potato,CIP308486.355,tubers,34259.2592592593,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP308478.59,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,1,potato,CIP308478.59,tubers,49074.0740740741,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP308488.198,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,1,potato,CIP308488.198,tubers,44444.4444444444,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP720201,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,1,potato,CIP720201,tubers,25000,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP384866.5,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,1,potato,CIP384866.5,tubers,13888.8888888889,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP308495.227,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,1,potato,CIP308495.227,tubers,47222.2222222222,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP308486.355,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,2,potato,CIP308486.355,tubers,32407.4074074074,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP384866.5,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,2,potato,CIP384866.5,tubers,32407.4074074074,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP308495.227,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,2,potato,CIP308495.227,tubers,31481.4814814815,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP308478.59,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,2,potato,CIP308478.59,tubers,25925.9259259259,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP308488.198,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,2,potato,CIP308488.198,tubers,34259.2592592593,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP308488.92,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,2,potato,CIP308488.92,tubers,37962.962962963,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP720201,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,2,potato,CIP720201,tubers,16666.6666666667,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP720201,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,3,potato,CIP720201,tubers,34074.0740740741,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
doi_10.21223_GZI7PD,La Aurorita_CIP308495.227,Peru,La Libertad,Sanchez Carrion,,La Aurorita,-77.87444,-7.829167,2017,,2017-2018,TRUE,FALSE,3,potato,CIP308495.227,tubers,37037.037037037,,,,FALSE,FALSE,100,30,,120,,,,,,,,,,,,,,,,,,,
