dataset_id,uri,authors,title,description,group,license,carob_contributor,data_citation,data_type,treatment_vars,publication,data_institute,data_published,project,carob_date
doi_10.18167_DVN1_KKMZAD,doi:10.18167/DVN1/KKMZAD,"Tsaliki, Eleni; Korpetis, Evangelos; Loison, Romain; Panoras, Ioannis; Milonas, Ioannis",Experimental dataset on sustainable durum wheat production in Greece 2018 to 2020.,"Durum wheat dataset collected on HAO-DEMETER research station in Thessaloniki, Greece from 2018 to 2020. The experiment was set up to study 2 agronomic factors: 4 cultivars, 2 levels of fertilization.  The dataset includes phenology, morphology, leaf area index, biomass, yield components. Funds : Project ANR ARIMNet2 TomorrowS",wheat_trials,CC-BY-NC-SA-4.0,Hope Mazungunye,"Tsaliki, Eleni; Korpetis, Evangelos; Loison, Romain; Panoras, Ioannis; Milonas, Ioannis (2024). Experimental dataset on sustainable durum wheat production in Greece 2018 to 2020. CIRAD Dataverse. Version 1.0. doi:10.18167/DVN1/KKMZAD",experiment,variety,"",CIRAD,2024-03-05,"",2024-04-09
doi_10.7910_DVN_8Y6Q7F,doi:10.7910/DVN/8Y6Q7F,Aaron M. Shew; Jesse B. Tack; L. Lanier Nalley; Petronella Chaminuka,Replication Data for: Yield reduction under climate warming varies among wheat cultivars in South Africa.,"The authors acknowledge and thank the South Africa Agricultural Research Council (ARC) for making the original data available for this study. ARC data in this repository can be used to replicate a forthcoming study on wheat yields and climate change in South Africa. Should the data be used beyond replication, ARC must be acknowledged.",wheat_trials,CC0-1.0,Blessing Dzuda,Aaron M. Shew; Jesse B. Tack; L. Lanier Nalley; Petronella Chaminuka (2020). Replication Data for: Yield reduction under climate warming varies among wheat cultivars in South Africa. Harvard Dataverse. Version 1.0. doi:10.7910/DVN/8Y6Q7F,experiment,variety_code;longitude;latitude,doi:10.1038/s41467-020-18317-8,SARC,2020-08-11,"",2024-01-24
doi_10.7910_DVN_BCYGY7,doi:10.7910/DVN/BCYGY7,International Livestock Research Institute (ILRI),Variations in Food Feed Traits of Bread Wheat Varieties for Ethiopia.,"Wheat is the most widely grown cereal in Ethiopia next to tef and maize. The residue from wheat is mainly used as livestock feed. In addition to the grain yield, the quantity and quality of wheat straw produced is very important for smallholders and affect variety selection and adoption by farmers. Variations in food-feed traits of different bread wheat cultivars released for the highlands of Ethiopia were evaluated across different districts. This dataset provides grain yield, straw yield, and fodder traits of the straw for different wheat varieties in different districts over two growing seasons.",wheat_trials,CC-BY-4.0-DEED.AST,Fredy Chimire,International Livestock Research Institute (ILRI) (2020). Variations in Food Feed Traits of Bread Wheat Varieties for Ethiopia. Harvard Dataverse. Version 1.2. doi:10.7910/DVN/BCYGY7,experiment,variety_code;longitude;latitude,"",ILRI,2020-10-06,"",2024-3-10
hdl_11529_10170,hdl:11529/10170,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas",18th Semi-Arid Wheat Yield Trial.,"The Semi-Arid Wheat Yield Trial (SAWYT) is a replicated yield trial that contains spring bread wheat (Triticum aestivum) germplasm adapted to low rainfall, drought prone environments typically receiving less than 500 mm of water available during the cropping cycle. The combination of water-use efficiency and water responsive broad adaptation plus yield potential is important in drought environments where rainfall is frequently erratic across and within years. Stripe rust, leaf rust and stem rust, root rots, nematodes, and bunts are the key biotic constraints. Typical target environments include winter rain or Mediterranean-type drought associated with post-flowering moisture stress and heat stress such as those found at Aleppo (Syria), Settat (Morocco) and Marcos Juarez (Argentina), all classified by CIMMYT within Wheat Mega Environment 4 (Low rainfall, semi-arid environment; ME4: SA). It is distributed to 150 locations, and contains 50 entries.",wheat_trials,CIMMYT license,Robert Hijmans,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas (2015). 18th Semi-Arid Wheat Yield Trial. CIMMYT Research Data & Software Repository Network. Version 7.1. hdl:11529/10170",on-station experiment,variety_code;longitude;latitude,"",CIMMYT,2015-08-12,Semi-Arid Wheat Yield Trial,2023-06-30
hdl_11529_10265,hdl:11529/10265,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas",17th Semi-Arid Wheat Yield Trial.,"The Semi-Arid Wheat Yield Trial (SAWYT) is a replicated yield trial that contains spring bread wheat (Triticum aestivum) germplasm adapted to low rainfall, drought prone environments typically receiving less than 500 mm of water available during the cropping cycle. The combination of water-use efficiency and water responsive broad adaptation plus yield potential is important in drought environments where rainfall is frequently erratic across and within years. Stripe rust, leaf rust and stem rust, root rots, nematodes, and bunts are the key biotic constraints. Typical target environments include winter rain or Mediterranean-type drought associated with post-flowering moisture stress and heat stress such as those found at Aleppo (Syria), Settat (Morocco) and Marcos Juarez (Argentina), all classified by CIMMYT within Wheat Mega Environment 4 (Low rainfall, semi-arid environment; ME4: SA). It is distributed to 150 locations, and contains 50 entries. ",wheat_trials,CIMMYT license,Robert Hijmans,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas (2015). 17th Semi-Arid Wheat Yield Trial. CIMMYT Research Data & Software Repository Network. Version 9.1. hdl:11529/10265",on-station experiment,variety_code;longitude;latitude,"",CIMMYT,2015-09-28,Semi-Arid Wheat Yield Trial,2023-06-30
hdl_11529_10271,hdl:11529/10271,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas",16th Semi-Arid Wheat Yield trial.,"The Semi-Arid Wheat Yield Trial (SAWYT) is a replicated yield trial that contains spring bread wheat (Triticum aestivum) germplasm adapted to low rainfall, drought prone environments typically receiving less than 500 mm of water available during the cropping cycle. The combination of water-use efficiency and water responsive broad adaptation plus yield potential is important in drought environments where rainfall is frequently erratic across and within years. Stripe rust, leaf rust and stem rust, root rots, nematodes, and bunts are the key biotic constraints. Typical target environments include winter rain or Mediterranean-type drought associated with post-flowering moisture stress and heat stress such as those found at Aleppo (Syria), Settat (Morocco) and Marcos Juarez (Argentina), all classified by CIMMYT within Wheat Mega Environment 4 (Low rainfall, semi-arid environment; ME4: SA). It is distributed to 150 locations, and contains 50 entries.",wheat_trials,CIMMYT license,Robert Hijmans,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas (2015). 16th Semi-Arid Wheat Yield trial. CIMMYT Research Data & Software Repository Network. Version 6.1. hdl:11529/10271",on-station experiment,variety_code;longitude;latitude,"",CIMMYT,2015-10-05,Semi-Arid Wheat Yield Trial,2023-06-30
hdl_11529_10293,hdl:11529/10293,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas",15th Semi-Arid Wheat Yield Trial.,"The Semi-Arid Wheat Yield Trial (SAWYT) is a replicated yield trial that contains spring bread wheat (Triticum aestivum) germplasm adapted to low rainfall, drought prone environments typically receiving less than 500 mm of water available during the cropping cycle. The combination of water-use efficiency and water responsive broad adaptation plus yield potential is important in drought environments where rainfall is frequently erratic across and within years. Stripe rust, leaf rust and stem rust, root rots, nematodes, and bunts are the key biotic constraints. Typical target environments include winter rain or Mediterranean-type drought associated with post-flowering moisture stress and heat stress such as those found at Aleppo (Syria), Settat (Morocco) and Marcos Juarez (Argentina), all classified by CIMMYT within Wheat Mega Environment 4 (Low rainfall, semi-arid environment; ME4: SA). It is distributed to 150 locations, and contains 50 entries.",wheat_trials,CIMMYT license,Robert Hijmans,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas (2015). 15th Semi-Arid Wheat Yield Trial. CIMMYT Research Data & Software Repository Network. Version 7.1. hdl:11529/10293",on-station experiment,variety_code;longitude;latitude,"",CIMMYT,2015-10-05,Semi-Arid Wheat Yield Trial,2023-06-30
hdl_11529_10297,hdl:11529/10297,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas",14th Semi-Arid Wheat Yield Trial.,"The Semi-Arid Wheat Yield Trial (SAWYT) is a replicated yield trial that contains spring bread wheat (Triticum aestivum) germplasm adapted to low rainfall, drought prone environments typically receiving less than 500 mm of water available during the cropping cycle. The combination of water-use efficiency and water responsive broad adaptation plus yield potential is important in drought environments where rainfall is frequently erratic across and within years. Stripe rust, leaf rust and stem rust, root rots, nematodes, and bunts are the key biotic constraints. Typical target environments include winter rain or Mediterranean-type drought associated with post-flowering moisture stress and heat stress such as those found at Aleppo (Syria), Settat (Morocco) and Marcos Juarez (Argentina), all classified by CIMMYT within Wheat Mega Environment 4 (Low rainfall, semi-arid environment; ME4: SA). It is distributed to 150 locations, and contains 50 entries.",wheat_trials,CIMMYT license,Robert Hijmans,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas (2015). 14th Semi-Arid Wheat Yield Trial. CIMMYT Research Data & Software Repository Network. Version 7.1. hdl:11529/10297",on-station experiment,variety_code;longitude;latitude,"",CIMMYT,2015-10-05,Semi-Arid Wheat Yield Trial,2023-06-30
hdl_11529_10314,hdl:11529/10314,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas",13th Semi-Arid Wheat Yield Trial.,"The Semi-Arid Wheat Yield Trial (SAWYT) is a replicated yield trial that contains spring bread wheat (Triticum aestivum) germplasm adapted to low rainfall, drought prone environments typically receiving less than 500 mm of water available during the cropping cycle. The combination of water-use efficiency and water responsive broad adaptation plus yield potential is important in drought environments where rainfall is frequently erratic across and within years. Stripe rust, leaf rust and stem rust, root rots, nematodes, and bunts are the key biotic constraints. Typical target environments include winter rain or Mediterranean-type drought associated with post-flowering moisture stress and heat stress such as those found at Aleppo (Syria), Settat (Morocco) and Marcos Juarez (Argentina), all classified by CIMMYT within Wheat Mega Environment 4 (Low rainfall, semi-arid environment; ME4: SA). It is distributed to 150 locations, and contains 50 entries.",wheat_trials,CIMMYT license,Robert Hijmans,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas (2015). 13th Semi-Arid Wheat Yield Trial. CIMMYT Research Data & Software Repository Network. Version 7.1. hdl:11529/10314",on-station experiment,variety_code;longitude;latitude,"",CIMMYT,2015-10-02,Semi-Arid Wheat Yield Trial,2023-06-30
hdl_11529_10337,hdl:11529/10337,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas",19th Semi-Arid Wheat Yield Trial.,"The Semi-Arid Wheat Yield Trial (SAWYT) is a replicated yield trial that contains spring bread wheat (Triticum aestivum) germplasm adapted to low rainfall, drought prone environments typically receiving less than 500 mm of water available during the cropping cycle. The combination of water-use efficiency and water responsive broad adaptation plus yield potential is important in drought environments where rainfall is frequently erratic across and within years. Stripe rust, leaf rust and stem rust, root rots, nematodes, and bunts are the key biotic constraints. Typical target environments include winter rain or Mediterranean-type drought associated with post-flowering moisture stress and heat stress such as those found at Aleppo (Syria), Settat (Morocco) and Marcos Juarez (Argentina), all classified by CIMMYT within Wheat Mega Environment 4 (Low rainfall, semi-arid environment; ME4: SA). It is distributed to 150 locations, and contains 50 entries.",wheat_trials,CIMMYT license,Robert Hijmans,"Global Wheat Program; IWIN Collaborators; Singh, Ravi; Payne, Thomas (2015). 19th Semi-Arid Wheat Yield Trial. CIMMYT Research Data & Software Repository Network. Version 8.1. hdl:11529/10337",on-station experiment,variety_code;longitude;latitude,"",CIMMYT,2015-10-05,Semi-Arid Wheat Yield Trial,2023-06-30
